By Command
°C→°F	[degree]C[->][degree]F	C>F
Weibl-p	Weiblₚ	Weibl[sub-p]
Weibl-u	Weiblᵤ	Weibl[sub-u]
cx!	©x!	[cmplx]x!
x!=0?	x≠0?	x[!=]0?
cx!=0?	©x≠0?	[cmplx]x[!=]0?
x!=1?	x≠1?	x[!=]1?
cx!=1?	©x≠1?	[cmplx]x[!=]1?
x!=?	x≠?	x[!=]?
cx!=?	©x≠?	[cmplx]x[!=]?
cx!=i?	©x≠i?	[cmplx]x[!=]i?
x<=0?	x≤0?	x[<=]0?
x<=1?	x≤1?	x[<=]1?
x<=?	x≤?	x[<=]?
x<>	x⇆	x[<->]
cx<>	©x⇆	[cmplx]x[<->]
x<>y	x⇆	x[<->]
cx=0?	©x=0?	[cmplx]x=0?
cx=1?	©x=1?	[cmplx]x=1?
cx=?	©x=?	[cmplx]x=?
cx=i?	©x=i?	[cmplx]x=i?
x>=0?	x≥0?	x[>=]0?
x>=1?	x≥1?	x[>=]1?
x>=?	x≥?	x[>=]?
x>a	x→α	x[->][alpha]
x^2	x²	x[^2]
cx^2	©x²	[cmplx]x[^2]
x^3	x³	x[^3]
cx^3	©x³	[cmplx]x[^3]
XEQa	XEQα	XEQ[alpha]
XROOT	ᵡ√y	[^x][sqrt]y
cXROOT	©ᵡ√y	[cmplx][^x][sqrt]y
x~0?	x≈0?	x[approx]0?
x~1?	x≈1?	x[approx]1?
x~?	x≈?	x[approx]?
y<>	y⇆	y[<->]
y^x	yᵡ	y[^x]
cy^x	©yᵡ	[cmplx]y[^x]
yards>m	yards→m	yards[->]m
z<>	z⇆	z[<->]
cz<>	©z⇆	[cmplx]z[<->]
ZETA	ζ	[zeta]
c||	©||	[cmplx]||




By Pretty Command
[cmplx]#	©#	c#
# -[infinity]	# -∞	# NEGINF
# 1/[sqrt]5	# 1/√5	# RECIP_SQRT5
# [alpha]	# α	# alpha
# [epsilon][sub-0]	# ε₀	# eps0
# [gamma][sub-p]	# γₚ	# gamP
# [gamma]EM	# γEM	# EULER
# [h-bar]	# ħ	# hon2PI
# [infinity]	# ∞	# INF
# [integral]RgB	# ∫RgB	# INT_R_BOUNDS
# [lambda][sub-c]	# λ⒞	# lamC
# [lambda][sub-c][sub-n]	# λ⒞ₙ	# lamCn
# [lambda][sub-c][sub-p]	# λ⒞ₚ	# lamCp
# [mu][sub-0]	# μ₀	# mu0
# [mu][sub-B]	# μ⒝	# muB
# [mu][sub-e]	# μₑ	# muE
# [mu][sub-mu]	# μ¶	# mumu
# [mu][sub-n]	# μₙ	# mun
# [mu][sub-p]	# μₚ	# muP
# [mu][sub-u]	# μᵤ	# mu_u
# [omega]	# ω	# WGS_OMEGA
# [PHI]	# Φ	# PHI
# [PHI][sub-0]	# Φ₀	# phi0
# [pi]	# π	PI
# [pi]/2	# π/2	# PIon2
# [sigma][sub-B]	# σ⒝	# sigma
# [sqrt]2[pi]	# √2π	# SQRT_2_PI
# a[sub-0]	# a₀	# a0
# a[sub-m]	# aₘ	# SM_luna
# a[terra]	# a♁	# SM_terra
# c[sub-1]	# c₁	# C1
# c[sub-2]	# c₂	# C2
# F[alpha]	# Fα	# F_alpha
# F[delta]	# Fδ	# F_delta
# G[sub-0]	# G₀	# Go
# G[sub-c]	# G⒞	# catalan
# g[sub-e]	# gₑ	# Ge
# L10[^-1]	# L10⁸	# RECIPLN10
# l[sub-p]	# lₚ	# PlanckL
# LN2[^-1]	# LN2⁸	# RECIPLN2
# M[sol]	# M☉	# M_sol
# m[sub-e]	# mₑ	# me
# M[sub-m]	# Mₘ	# M_luna
# m[sub-mu]	# m¶	# mMu
# m[sub-n]	# mₙ	# mn
# m[sub-p]	# mₚ	# mp
# M[sub-p]	# Mₚ	# PlanckM
# m[sub-u]	# mᵤ	# mu
# m[sub-u]c[^2]	# mᵤc²	# muc2
# M[terra]	# M♁	# M_terra
# N[sub-A]	# Nₐ	# Na
# p[sub-0]	# p₀	# atm
# q[sub-p]	# qₚ	# PlanckQ
# R[sol]	# R☉	# R_sol
# r[sub-e]	# rₑ	# Re
# R[sub-infinity]	# R₈	# Rinf
# R[sub-k]	# Rₖ	# Rk
# R[sub-m]	# Rₘ	# R_luna
# R[terra]	# R♁	# R_terra
# Se'[^2]	# Se'²	# WGS_ES2
# Se[^2]	# Se²	# WGS_E2
# Sf[^-1]	# Sf⁸	# WGS_F
# T[sub-0]	# T₀	# t
# T[sub-p]	# Tₚ	# PlanckTh
# t[sub-p]	# tₚ	# tp
# V[sub-m]	# Vₘ	# Vm
# Z[sub-0]	# Z₀	# Zo
%[SIGMA]	%Σ	%SUM
(-1)[^x]	(-1)ᵡ	(-1)^x
[cmplx](-1)[^x]	©(-1)ᵡ	c(-1)^x
[cmplx]+	©+	c+
[cmplx]+/-	©+/-	c+/-
+/-	+/-	CHS
[cmplx]+/-	©+/-	cCHS
[cmplx]-	©-	c-
[cmplx]/	©/	c/
1/x	1/x	INV
[cmplx]1/x	©1/x	cINV
10[^x]	10ᵡ	10^x
[cmplx]10[^x]	©10ᵡ	c10^x
2[^x]	2ᵡ	2^x
[cmplx]2[^x]	©2ᵡ	c2^x
[->]A..D	→A..D	
[->]DATE	→DATE	>DATE
[->]DEG	→DEG	>DEG
[->]GRAD	→GRAD	>GRAD
[->]H.MS	→H.MS	>H.MS
[->]HR	→HR	>HR
[->]POL	→POL	>POL
[->]RAD	→RAD	>RAD
[->]REC	→REC	>REC
[<->]	⇆	<>
[^3][sqrt]	³√	CROOT
[cmplx][^3][sqrt]	©³√	cCROOT
[^x][sqrt]y	ᵡ√y	XROOT
[cmplx][^x][sqrt]y	©ᵡ√y	cXROOT
[alpha]	α	a
[alpha] !	α !	'!'
[alpha] "	α "	'"'
[alpha] #	α #	'#'
[alpha] $	α $	'$'
[alpha] %	α %	'%'
[alpha] &	α &	'&'
[alpha] '	α '	'''
[alpha] (	α (	'('
[alpha] )	α )	')'
[alpha] *	α *	'*'
[alpha] +	α +	'+'
[alpha] ,	α ,	','
[alpha] -	α -	'-'
[alpha] .	α .	'.'
[alpha] /	α /	'/'
[alpha] 0	α 0	'0'
[alpha] 1	α 1	'1'
[alpha] 2	α 2	'2'
[alpha] 3	α 3	'3'
[alpha] 4	α 4	'4'
[alpha] 5	α 5	'5'
[alpha] 6	α 6	'6'
[alpha] 7	α 7	'7'
[alpha] 8	α 8	'8'
[alpha] 9	α 9	'9'
[alpha] :	α :	':'
[alpha] ;	α ;	';'
[alpha] <	α <	'<'
[alpha] =	α =	'='
[alpha] >	α >	'>'
[alpha] ?	α ?	'?'
[alpha] @	α @	'@'
[alpha] [	α [	'['
[alpha] [!=]	α ≠	'!='
[alpha] [+/-]	α ±	'+/-'
[alpha] [->]	α →	'->'
[alpha] [0223]	α 	'0223'
[alpha] [<->]	α ⇆	'<->'
[alpha] [<-]	α ←	'<-'
[alpha] [<=]	α ≤	'<='
[alpha] [>=]	α ≥	'>='
[alpha] [^-1]	α ⁸	'^-1'
[alpha] [^2]	α ²	'^2'
[alpha] [^3]	α ³	'^3'
[alpha] [^]	α ↑	'[^]'
[alpha] [^v]	α ↕	'^v'
[alpha] [^x]	α ᵡ	'^x'
[alpha] [A-acute]	α Á	'A-acute'
[alpha] [a-acute]	α á	'a-acute'
[alpha] [a-dot]	α â	'a-dot'
[alpha] [A-dot]	α Â	'A-dot'
[alpha] [A-grave]	α À	'A-grave'
[alpha] [a-grave]	α à	'a-grave'
[alpha] [A-tilde]	α Ã	'A-tilde'
[alpha] [a-tilde]	α ã	'a-tilde'
[alpha] [A-umlaut]	α Ä	'A-umlaut'
[alpha] [a-umlaut]	α ä	'a-umlaut'
[alpha] [AE]	α Æ	'AE'
[alpha] [ae]	α æ	'ae'
[alpha] [alpha]	α α	'alpha'
[alpha] [approx]	α ≈	'approx'
[alpha] [beta]	α β	'beta'
[alpha] [c-acute]	α ć	'c-acute'
[alpha] [C-acute]	α Ć	'C-acute'
[alpha] [c-cedilla]	α ç	'c-cedilla'
[alpha] [C-cedilla]	α Ç	'C-cedilla'
[alpha] [C-hook]	α Č	'C-hook'
[alpha] [c-hook]	α č	'c-hook'
[alpha] [chi]	α χ	'chi'
[alpha] [cmplx]	α ©	'cmplx'
[alpha] [D-bar]	α Ð	'D-bar'
[alpha] [d-bar]	α ð	'd-bar'
[alpha] [degree]	α °	'degree'
[alpha] [DELTA]	α Δ	'DELTA'
[alpha] [delta]	α δ	'delta'
[alpha] [E-acute]	α É	'E-acute'
[alpha] [e-acute]	α é	'e-acute'
[alpha] [E-grave]	α È	'E-grave'
[alpha] [e-grave]	α è	'e-grave'
[alpha] [e-tilde]	α ē	'e-tilde'
[alpha] [E-tilde]	α Ē	'E-tilde'
[alpha] [E-trema]	α Ë	'E-trema'
[alpha] [e-trema]	α ë	'e-trema'
[alpha] [epsilon]	α ε	'epsilon'
[alpha] [eta]	α η	'eta'
[alpha] [euro]	α €	'euro'
[alpha] [f-shift]	α ⓕ	'f-shift'
[alpha] [g-shift]	α ⓖ	'g-shift'
[alpha] [GAMMA]	α Γ	'GAMMA'
[alpha] [gamma]	α γ	'gamma'
[alpha] [grad]	α Ⓖ	'grad'
[alpha] [h-bar]	α ħ	'h-bar'
[alpha] [h-shift]	α ⓗ	'h-shift'
[alpha] [I-acute]	α Í	'I-acute'
[alpha] [i-acute]	α í	'i-acute'
[alpha] [I-grave]	α Ì	'I-grave'
[alpha] [i-grave]	α ì	'i-grave'
[alpha] [i-tilde]	α ĩ	'i-tilde'
[alpha] [I-tilde]	α Ĩ	'I-tilde'
[alpha] [I-trema]	α Ï	'I-trema'
[alpha] [i-trema]	α ï	'i-trema'
[alpha] [infinity]	α ∞	'infinity'
[alpha] [integral]	α ∫	'integral'
[alpha] [iota]	α ι	'iota'
[alpha] [kappa]	α κ	'kappa'
[alpha] [LAMBDA]	α Λ	'LAMBDA'
[alpha] [lambda]	α λ	'lambda'
[alpha] [mu]	α μ	'mu'
[alpha] [n-tilde]	α ñ	'n-tilde'
[alpha] [N-tilde]	α Ñ	'N-tilde'
[alpha] [narrow-space]	α  	'narrow-space'
[alpha] [not]	α ¬	'not'
[alpha] [nu]	α ν	'nu'
[alpha] [O-acute]	α Ó	'O-acute'
[alpha] [o-acute]	α ó	'o-acute'
[alpha] [O-grave]	α Ò	'O-grave'
[alpha] [o-grave]	α ò	'o-grave'
[alpha] [O-slash]	α Ø	'O-slash'
[alpha] [o-slash]	α ø	'o-slash'
[alpha] [o-tilde]	α õ	'o-tilde'
[alpha] [O-tilde]	α Õ	'O-tilde'
[alpha] [O-umlaut]	α Ö	'O-umlaut'
[alpha] [o-umlaut]	α ö	'o-umlaut'
[alpha] [omega]	α ω	'omega'
[alpha] [OMEGA]	α Ω	'OMEGA'
[alpha] [PHI]	α Φ	'PHI'
[alpha] [phi]	α φ	'phi'
[alpha] [pi]	α π	'pi'
[alpha] [PI]	α Π	'PI'
[alpha] [pound]	α £	'pound'
[alpha] [print]	α ⎙	'print'
[alpha] [psi]	α ψ	'psi'
[alpha] [PSI]	α Ψ	'PSI'
[alpha] [R-hook]	α Ř	'R-hook'
[alpha] [r-hook]	α ř	'r-hook'
[alpha] [rho]	α ρ	'rho'
[alpha] [S-hook]	α Š	'S-hook'
[alpha] [s-hook]	α š	's-hook'
[alpha] [sigma]	α σ	'sigma'
[alpha] [SIGMA]	α Σ	'SIGMA'
[alpha] [sol]	α ☉	'sol'
[alpha] [space]	α  	' '
[alpha] [sqrt]	α √	'sqrt'
[alpha] [sub-0]	α ₀	'sub-0'
[alpha] [sub-1]	α ₁	'sub-1'
[alpha] [sub-2]	α ₂	'sub-2'
[alpha] [sub-A]	α ₐ	'sub-A'
[alpha] [sub-B]	α ⒝	'sub-B'
[alpha] [sub-c]	α ⒞	'sub-c'
[alpha] [sub-d]	α ⒟	'sub-d'
[alpha] [sub-e]	α ₑ	'sub-e'
[alpha] [sub-infinity]	α ₈	'sub-infinity'
[alpha] [sub-k]	α ₖ	'sub-k'
[alpha] [sub-m]	α ₘ	'sub-m'
[alpha] [sub-mu]	α ¶	'sub-mu'
[alpha] [sub-n]	α ₙ	'sub-n'
[alpha] [sub-p]	α ₚ	'sub-p'
[alpha] [sub-u]	α ᵤ	'sub-u'
[alpha] [sub-w]	α ⒲	'sub-w'
[alpha] [sub-x]	α ₓ	'sub-x'
[alpha] [sub-y]	α ᵧ	'sub-y'
[alpha] [super-star]	α ⁺	'super-star'
[alpha] [sz]	α ß	'sz'
[alpha] [tau]	α τ	'tau'
[alpha] [terra]	α ♁	'terra'
[alpha] [THETA]	α Θ	'THETA'
[alpha] [theta]	α θ	'theta'
[alpha] [times]	α ×	'times'
[alpha] [U-acute]	α Ú	'U-acute'
[alpha] [u-acute]	α ú	'u-acute'
[alpha] [u-dot]	α û	'u-dot'
[alpha] [U-dot]	α Û	'U-dot'
[alpha] [U-grave]	α Ù	'U-grave'
[alpha] [u-grave]	α ù	'u-grave'
[alpha] [u-tilde]	α ũ	'u-tilde'
[alpha] [U-tilde]	α Ũ	'U-tilde'
[alpha] [u-umlaut]	α ü	'u-umlaut'
[alpha] [U-umlaut]	α Ü	'U-umlaut'
[alpha] [upsilon]	α υ	'upsilon'
[alpha] [v]	α ↓	'[v]'
[alpha] [x-bar]	α Ẁ	'x-bar'
[alpha] [x-hat]	α ẋ	'x-hat'
[alpha] [XI]	α Ξ	'XI'
[alpha] [xi]	α ξ	'xi'
[alpha] [Y-acute]	α Ý	'Y-acute'
[alpha] [y-acute]	α ý	'y-acute'
[alpha] [y-bar]	α ȳ	'y-bar'
[alpha] [y-hat]	α ŷ	'y-hat'
[alpha] [y-trema]	α ÿ	'y-trema'
[alpha] [Y-trema]	α Ÿ	'Y-trema'
[alpha] [yen]	α ¥	'yen'
[alpha] [z-hook]	α ž	'z-hook'
[alpha] [Z-hook]	α Ž	'Z-hook'
[alpha] [zeta]	α ζ	'zeta'
[alpha] \	α \	'\'
[alpha] ]	α ]	']'
[alpha] ^	α ^	'^'
[alpha] _	α _	'_'
[alpha] `	α `	'`'
[alpha] a	α a	'a'
[alpha] A	α A	'A'
[alpha] b	α b	'b'
[alpha] B	α B	'B'
[alpha] c	α c	'c'
[alpha] C	α C	'C'
[alpha] D	α D	'D'
[alpha] d	α d	'd'
[alpha] e	α e	'e'
[alpha] E	α E	'E'
[alpha] f	α f	'f'
[alpha] F	α F	'F'
[alpha] G	α G	'G'
[alpha] g	α g	'g'
[alpha] h	α h	'h'
[alpha] H	α H	'H'
[alpha] i	α i	'i'
[alpha] I	α I	'I'
[alpha] J	α J	'J'
[alpha] j	α j	'j'
[alpha] K	α K	'K'
[alpha] k	α k	'k'
[alpha] l	α l	'l'
[alpha] L	α L	'L'
[alpha] m	α m	'm'
[alpha] M	α M	'M'
[alpha] n	α n	'n'
[alpha] N	α N	'N'
[alpha] o	α o	'o'
[alpha] O	α O	'O'
[alpha] P	α P	'P'
[alpha] p	α p	'p'
[alpha] Q	α Q	'Q'
[alpha] q	α q	'q'
[alpha] r	α r	'r'
[alpha] R	α R	'R'
[alpha] S	α S	'S'
[alpha] s	α s	's'
[alpha] T	α T	'T'
[alpha] t	α t	't'
[alpha] u	α u	'u'
[alpha] U	α U	'U'
[alpha] V	α V	'V'
[alpha] v	α v	'v'
[alpha] W	α W	'W'
[alpha] w	α w	'w'
[alpha] x	α x	'x'
[alpha] X	α X	'X'
[alpha] y	α y	'y'
[alpha] Y	α Y	'Y'
[alpha] Z	α Z	'Z'
[alpha] z	α z	'z'
[alpha] {	α {	'{'
[alpha] |	α |	'|'
[alpha] }	α }	'}'
[alpha] ~	α ~	'~'
[alpha][->]x	α→x	a>x
[alpha]DATE	αDATE	aDATE
[alpha]DAY	αDAY	aDAY
[alpha]GTO	αGTO	aGTO
[alpha]IP	αIP	aIP
[alpha]LENG	αLENG	aLENG
[alpha]MONTH	αMONTH	aMONTH
[alpha]OFF	αOFF	aOFF
[alpha]ON	αON	aON
[alpha]RC#	αRC#	aRC#
[alpha]RCL	αRCL	aRCL
[alpha]RL	αRL	aRL
[alpha]RR	αRR	aRR
[alpha]SL	αSL	aSL
[alpha]SR	αSR	aSR
[alpha]STO	αSTO	aSTO
[alpha]TIME	αTIME	aTIME
[alpha]XEQ	αXEQ	aXEQ
[beta]	β	BETA
[cmplx][beta]	©β	cBETA
[chi][^2]	χ²	CHI2
[chi][^2][sub-p]	χ²ₚ	chi2
[chi][^2]INV	χ²INV	INV-CHI2
[degree][->]G	°→G	DEG>GRAD
[degree][->]rad	°→rad	DEG>RAD
[degree]C[->][degree]F	°C→°F	C>F
[degree]F[->][degree]C	°F→°C	F>C
[DELTA]%	Δ%	%CH
[DELTA]DAYS	ΔDAYS	DELTADAYS
[epsilon]	ε	epsilon
[epsilon][sub-p]	εₚ	epsilon-pop
[epsilon]m	εm	epsilon-m
[GAMMA]	Γ	GAMMA
[cmplx][GAMMA]	©Γ	cGAMMA
[infinity]?	∞?	INF?
[integral]	∫	INTG
[integral]	∫	INTG
[PHI](x)	Φ(x)	PHI(x)
[phi](x)	φ(x)	phi(x)
[PHI][^-1](p)	Φ⁸(p)	INV-PHI
[PHI][sub-u](x)	Φᵤ(x)	Q-u
[PI]	Π	PROD
[PI]	Π	PROD
[print]#	⎙#	P.#
[print]+[alpha]	⎙+α	P.+a
[print]?	⎙?	PRT?
[print][alpha]	⎙α	P.a
[print][alpha]+	⎙α+	P.a+
[print][SIGMA]	⎙Σ	P.SUMS
[print]ADV	⎙ADV	P.ADV
[print]CHR	⎙CHR	P.CHR
[print]DLAY	⎙DLAY	P.DLAY
[print]MODE	⎙MODE	P.MODE
[print]PROG	⎙PROG	P.PROG
[print]r	⎙r	P.r
[print]REGS	⎙REGS	P.REGS
[print]STK	⎙STK	P.STK
[print]TAB	⎙TAB	P.TAB
[sigma]	σ	sigma
[SIGMA]	Σ	SUM
[SIGMA]	Σ	SUM
[SIGMA]+	Σ+	SIGMA+
[SIGMA]-	Σ-	SIGMA-
[SIGMA]ln[^2]x	Σln²x	SUMln2x
[SIGMA]ln[^2]y	Σln²y	SUMln2y
[SIGMA]lnx	Σlnx	SUMlnx
[SIGMA]lnxy	Σlnxy	SUMlnxy
[SIGMA]lny	Σlny	SUMlny
[sigma]w	σw	sigma-w
[SIGMA]x	Σx	SUMx
[SIGMA]x[^2]	Σx²	SUMx2
[SIGMA]x[^2]y	Σx²y	SUMx2y
[SIGMA]xlny	Σxlny	SUMxlny
[SIGMA]xy	Σxy	SUMxy
[SIGMA]y	Σy	SUMy
[SIGMA]y[^2]	Σy²	SUMy2
[SIGMA]ylnx	Σylnx	SUMylnx
[sqrt]	√	SQRT
[cmplx][sqrt]	©√	cSQRT
[times]	×	*
[cmplx][times]	©×	c*
[x-bar]	Ẁ	MEAN
[x-bar]g	Ẁg	GEOMEAN
[x-bar]w	Ẁw	MEAN-w
[x-hat]	ẋ	FCSTx
[y-hat]	ŷ	FCSTy
[zeta]	ζ	ZETA
A..D[->]	A..D→	
[cmplx]ABS	©ABS	cABS
[cmplx]ACOS	©ACOS	cACOS
[cmplx]ACOSH	©ACOSH	cACOSH
acres[->]ha	acres→ha	acres>ha
[cmplx]AGM	©AGM	cAGM
ar.[->]dB	ar.→dB	ar.>dB
[cmplx]ASIN	©ASIN	cASIN
[cmplx]ASINH	©ASINH	cASINH
[cmplx]ATAN	©ATAN	cATAN
[cmplx]ATANH	©ATANH	cATANH
atm[->]Pa	atm→Pa	atm>Pa
AU[->]km	AU→km	AU>km
B[sub-n]	Bₙ	Bn
B[sub-n][super-star]	Bₙ⁺	Bn*
bar[->]Pa	bar→Pa	bar>Pa
Binom[^-1]	Binom⁸	INV-Binom
Binom[sub-p]	Binomₚ	Binom-p
Btu[->]J	Btu→J	Btu>J
cal[->]J	cal→J	cal>J
Cauch[^-1]	Cauch⁸	INV-Cauch
Cauch[sub-p]	Cauchₚ	Cauch-p
Cauch[sub-u]	Cauchᵤ	Cauch-u
cft[->]l	cft→l	cft>l
CL[alpha]	CLα	CLa
CL[SIGMA]	CLΣ	CLSUMS
cm[->]inches	cm→inches	cm>inches
[cmplx]CNST	©CNST	cCNST
[cmplx]COMB	©COMB	cCOMB
[cmplx]CONJ	©CONJ	cCONJ
[cmplx]COS	©COS	cCOS
[cmplx]COSH	©COSH	cCOSH
[cmplx]CROSS	©CROSS	cCROSS
cwt[->]kg	cwt→kg	cwt>kg
D[->]J	D→J	D>J
DATE[->]	DATE→	DATE>
dB[->]ar.	dB→ar.	dB>ar.
dB[->]pr.	dB→pr.	dB>pr.
DBL[times]	DBL×	DBL*
DEG[->]	DEG→	DEG>
[cmplx]DOT	©DOT	cDOT
[cmplx]DROP	©DROP	cDROP
e[^x]	eᵡ	EXP
[cmplx]e[^x]	©eᵡ	cEXP
e[^x]-1	eᵡ-1	EXP-1
[cmplx]e[^x]-1	©eᵡ-1	cEXP-1
[cmplx]ENTER	©ENTER	cENTER
ENTER[^]	ENTER↑	ENTER
Expon[^-1]	Expon⁸	INV-Expon
Expon[sub-p]	Exponₚ	Expon-p
Expon[sub-u]	Exponᵤ	Expon-u
F[^-1](p)	F⁸(p)	INV-F
F[sub-p](x)	Fₚ(x)	F-p(x)
fathom[->]m	fathom→m	fathom>m
feet[->]m	feet→m	feet>m
[cmplx]FIB	©FIB	cFIB
[cmplx]FILL	©FILL	cFILL
flozUK[->]ml	flozUK→ml	flozUK>ml
flozUS[->]ml	flozUS→ml	flozUS>ml
[cmplx]FP	©FP	cFP
G[->][degree]	G→°	GRAD>DEG
g[->]oz	g→oz	g>oz
G[->]rad	G→rad	GRAD>RAD
g[->]tr.oz	g→tr.oz	g>tr.oz
g[sub-d]	g⒟	GUD
[cmplx]g[sub-d]	©g⒟	cGUD
g[sub-d][^-1]	g⒟⁸	INV-GUD
[cmplx]g[sub-d][^-1]	©g⒟⁸	cINV-GUD
galUK[->]l	galUK→l	galUK>l
galUS[->]l	galUS→l	galUS>l
Geom[^-1]	Geom⁸	INV-Geom
Geom[sub-p]	Geomₚ	Geom-p
Geom[sub-u]	Geomᵤ	Geom-u
GRAD[->]	GRAD→	GRAD>
GTO[alpha]	GTOα	GTOa
H[sub-n]	Hₙ	Hn
H[sub-n][sub-p]	Hₙₚ	Hnp
ha[->]acres	ha→acres	ha>acres
hp[->]W	hp→W	hp>W
HP[sub-e][->]W	HPₑ→W	HP[sub-e]>W
hpUK[->]W	hpUK→W	hpUK>W
[cmplx]i	©i	ci
I[beta]	Iβ	IBETA
I[GAMMA]	IΓ	IGAMMA
inches[->]cm	inches→cm	inches>cm
inHg[->]Pa	inHg→Pa	inHg>Pa
[cmplx]IP	©IP	cIP
J[->]Btu	J→Btu	J>Btu
J[->]cal	J→cal	J>cal
J[->]D	J→D	J>D
J[->]kWh	J→kWh	J>kWh
kg[->]cwt	kg→cwt	kg>cwt
kg[->]lb	kg→lb	kg>lb
kg[->]s.cwt	kg→s.cwt	kg>s.cwt
kg[->]stone	kg→stone	kg>stone
km[->]AU	km→AU	km>AU
km[->]l.y.	km→l.y.	km>l.y.
km[->]miles	km→miles	km>miles
km[->]nmi	km→nmi	km>nmi
km[->]pc	km→pc	km>pc
kWh[->]J	kWh→J	kWh>J
l.y.[->]km	l.y.→km	l.y.>km
l[->]cft	l→cft	l>cft
l[->]galUK	l→galUK	l>galUK
l[->]galUS	l→galUS	l>galUS
L[sub-n]	Lₙ	Ln
L[sub-n][alpha]	Lₙα	LnAlpha
lb[->]kg	lb→kg	lb>kg
lbf[->]N	lbf→N	lbf>N
LgNrm[^-1]	LgNrm⁸	INV-LgNorm
LgNrm[sub-p]	LgNrmₚ	LgNorm-p
LgNrm[sub-u]	LgNrmᵤ	LgNrm-u
[cmplx]LN	©LN	cLN
[cmplx]LN1+x	©LN1+x	cLN1+x
LN[beta]	LNβ	LNBETA
[cmplx]LN[beta]	©LNβ	cLNBETA
LN[GAMMA]	LNΓ	LNGAMMA
[cmplx]LN[GAMMA]	©LNΓ	cLNGAMMA
LOAD[SIGMA]	LOADΣ	LOADSUMS
LOG[sub-1][sub-0]	LOG₁₀	LG
[cmplx]LOG[sub-1][sub-0]	©LOG₁₀	cLG
LOG[sub-2]	LOG₂	LB
[cmplx]LOG[sub-2]	©LOG₂	cLB
LOG[sub-x]	LOGₓ	LOGx
[cmplx]LOG[sub-x]	©LOGₓ	cLOGx
Logis[^-1]	Logis⁸	INV-Logis
Logis[sub-p]	Logisₚ	Logis-p
Logis[sub-u]	Logisᵤ	Logis-u
M+[times]	M+×	M+*
m[->]fathom	m→fathom	m>fathom
m[->]feet	m→feet	m>feet
m[->]yards	m→yards	m>yards
M[^-1]	M⁸	M.INV
M[times]	M×	M*
miles[->]km	miles→km	miles>km
ml[->]flozUK	ml→flozUK	ml>flozUK
ml[->]flozUS	ml→flozUS	ml>flozUS
mmHg[->]Pa	mmHg→Pa	mmHg>Pa
MROW+[times]	MROW+×	MROW+*
MROW[<->]	MROW⇆	MROW<>
MROW[times]	MROW×	MROW*
N[->]lbf	N→lbf	N>lbf
n[SIGMA]	nΣ	nSUM
nmi[->]km	nmi→km	nmi>km
Norml[^-1]	Norml⁸	INV-Norml
Norml[sub-p]	Normlₚ	Norml-p
Norml[sub-u]	Normlᵤ	Norml-u
oz[->]g	oz→g	oz>g
P[sub-n]	Pₙ	Pn
Pa[->]atm	Pa→atm	Pa>atm
Pa[->]bar	Pa→bar	Pa>bar
Pa[->]inHg	Pa→inHg	Pa>inHg
Pa[->]mmHg	Pa→mmHg	Pa>mmHg
Pa[->]psi	Pa→psi	Pa>psi
Pa[->]torr	Pa→torr	Pa>torr
pc[->]km	pc→km	pc>km
[cmplx]PERM	©PERM	cPERM
Pois[lambda]	Poisλ	Pois1
Pois[lambda][^-1]	Poisλ⁸	INV-Pois1
Pois[lambda][sub-p]	Poisλₚ	Pois1-p
Poiss[^-1]	Poiss⁸	INV-Poiss
Poiss[sub-p]	Poissₚ	Poiss-p
pr.[->]dB	pr.→dB	pr.>dB
PS(hp)[->]W	PS(hp)→W	PS(hp)>W
psi[->]Pa	psi→Pa	psi>Pa
R[^]	R↑	RUP
[cmplx]R[^]	©R↑	cRUP
R[v]	R↓	RDN
[cmplx]R[v]	©R↓	cRDN
RAD[->]	RAD→	RAD>
rad[->][degree]	rad→°	RAD>DEG
rad[->]G	rad→G	RAD>GRAD
[cmplx]RCL	©RCL	cRCL
[cmplx]RCL+	©RCL+	cRCL+
[cmplx]RCL-	©RCL-	cRCL-
[cmplx]RCL/	©RCL/	cRCL/
RCL[^]	RCL↑	RCLMAX
RCL[times]	RCL×	RCL*
[cmplx]RCL[times]	©RCL×	cRCL*
RCL[v]	RCL↓	RCLMIN
[cmplx]ROUND	©ROUND	cROUND
s.cwt[->]kg	s.cwt→kg	s.cwt>kg
s.tons[->]t	s.tons→t	s.tons>t
s[sub-x][sub-y]	sₓᵧ	sxy
SEND[SIGMA]	SENDΣ	SENDSUMS
[cmplx]SIGN	©SIGN	cSIGN
[cmplx]SIN	©SIN	cSIN
[cmplx]SINC	©SINC	cSINC
[cmplx]SINH	©SINH	cSINH
[cmplx]STO	©STO	cSTO
[cmplx]STO+	©STO+	cSTO+
[cmplx]STO-	©STO-	cSTO-
[cmplx]STO/	©STO/	cSTO/
STO[^]	STO↑	STOMAX
STO[times]	STO×	STO*
[cmplx]STO[times]	©STO×	cSTO*
STO[v]	STO↓	STOMIN
stone[->]kg	stone→kg	stone>kg
t[->]s.tons	t→s.tons	t>s.tons
t[->]tons	t→tons	t>tons
t[<->]	t⇆	t<>
t[^-1](p)	t⁸(p)	INV-t
T[sub-n]	Tₙ	Tn
t[sub-p](x)	tₚ(x)	t-p(x)
t[sub-u](x)	tᵤ(x)	t-u
[cmplx]TAN	©TAN	cTAN
