By Command
°C→°F	[degree]C[->][degree]F	C>F
x≈0?	x[approx]0?	x~0?
x≈1?	x[approx]1?	x~1?
x≈?	x[approx]?	x~?
x≠0?	x[!=]0?	x!=0?
©x≠0?	[cmplx]x[!=]0?	cx!=0?
x≠1?	x[!=]1?	x!=1?
©x≠1?	[cmplx]x[!=]1?	cx!=1?
©x≠i?	[cmplx]x[!=]i?	cx!=i?
x≠?	x[!=]?	x!=?
©x≠?	[cmplx]x[!=]?	cx!=?
x≥0?	x[>=]0?	x>=0?
x≥1?	x[>=]1?	x>=1?
x≥?	x[>=]?	x>=?
ᵡ√y	[^x][sqrt]y	XROOT
©ᵡ√y	[cmplx][^x][sqrt]y	cXROOT
ẋ	[x-hat]	FCSTx
yards→m	yards[->]m	yards>m
yᵡ	y[^x]	y^x
©yᵡ	[cmplx]y[^x]	cy^x
y⇆	y[<->]	y<>
ŷ	[y-hat]	FCSTy
z⇆	z[<->]	z<>
©z⇆	[cmplx]z[<->]	cz<>
α	[alpha]	a
α 	[alpha] [0223]	'0223'
α  	[alpha] [narrow-space]	'narrow-space'
α  	[alpha] [space]	' '
α ⓕ	[alpha] [f-shift]	'f-shift'
α ⓖ	[alpha] [g-shift]	'g-shift'
α ⓗ	[alpha] [h-shift]	'h-shift'
α 0	[alpha] 0	'0'
α °	[alpha] [degree]	'degree'
α ₀	[alpha] [sub-0]	'sub-0'
α 1	[alpha] 1	'1'
α ₁	[alpha] [sub-1]	'sub-1'
α 2	[alpha] 2	'2'
α ²	[alpha] [^2]	'^2'
α ₂	[alpha] [sub-2]	'sub-2'
α 3	[alpha] 3	'3'
α ³	[alpha] [^3]	'^3'
α 4	[alpha] 4	'4'
α 5	[alpha] 5	'5'
α 6	[alpha] 6	'6'
α 7	[alpha] 7	'7'
α 8	[alpha] 8	'8'
α 9	[alpha] 9	'9'
α ₐ	[alpha] [sub-A]	'sub-A'
α a	[alpha] a	'a'
α A	[alpha] A	'A'
α À	[alpha] [A-grave]	'A-grave'
α à	[alpha] [a-grave]	'a-grave'
α á	[alpha] [a-acute]	'a-acute'
α Á	[alpha] [A-acute]	'A-acute'
α ã	[alpha] [a-tilde]	'a-tilde'
α Ã	[alpha] [A-tilde]	'A-tilde'
α ä	[alpha] [a-umlaut]	'a-umlaut'
α Ä	[alpha] [A-umlaut]	'A-umlaut'
α æ	[alpha] [ae]	'ae'
α Æ	[alpha] [AE]	'AE'
α â	[alpha] [a-dot]	'a-dot'
α Â	[alpha] [A-dot]	'A-dot'
α ⒝	[alpha] [sub-B]	'sub-B'
α B	[alpha] B	'B'
α b	[alpha] b	'b'
α ©	[alpha] [cmplx]	'cmplx'
α ⒞	[alpha] [sub-c]	'sub-c'
α c	[alpha] c	'c'
α C	[alpha] C	'C'
α ć	[alpha] [c-acute]	'c-acute'
α Ć	[alpha] [C-acute]	'C-acute'
α č	[alpha] [c-hook]	'c-hook'
α Č	[alpha] [C-hook]	'C-hook'
α ç	[alpha] [c-cedilla]	'c-cedilla'
α Ç	[alpha] [C-cedilla]	'C-cedilla'
α ⒟	[alpha] [sub-d]	'sub-d'
α d	[alpha] d	'd'
α D	[alpha] D	'D'
α Ð	[alpha] [D-bar]	'D-bar'
α ð	[alpha] [d-bar]	'd-bar'
α ₑ	[alpha] [sub-e]	'sub-e'
α e	[alpha] e	'e'
α E	[alpha] E	'E'
α è	[alpha] [e-grave]	'e-grave'
α È	[alpha] [E-grave]	'E-grave'
α é	[alpha] [e-acute]	'e-acute'
α É	[alpha] [E-acute]	'E-acute'
α Ē	[alpha] [E-tilde]	'E-tilde'
α ē	[alpha] [e-tilde]	'e-tilde'
α Ë	[alpha] [E-trema]	'E-trema'
α ë	[alpha] [e-trema]	'e-trema'
α F	[alpha] F	'F'
α f	[alpha] f	'f'
α G	[alpha] G	'G'
α g	[alpha] g	'g'
α H	[alpha] H	'H'
α h	[alpha] h	'h'
α ħ	[alpha] [h-bar]	'h-bar'
α I	[alpha] I	'I'
α i	[alpha] i	'i'
α Ì	[alpha] [I-grave]	'I-grave'
α ì	[alpha] [i-grave]	'i-grave'
α Í	[alpha] [I-acute]	'I-acute'
α í	[alpha] [i-acute]	'i-acute'
α ĩ	[alpha] [i-tilde]	'i-tilde'
α Ĩ	[alpha] [I-tilde]	'I-tilde'
α ï	[alpha] [i-trema]	'i-trema'
α Ï	[alpha] [I-trema]	'I-trema'
α J	[alpha] J	'J'
α j	[alpha] j	'j'
α ₖ	[alpha] [sub-k]	'sub-k'
α K	[alpha] K	'K'
α k	[alpha] k	'k'
α l	[alpha] l	'l'
α L	[alpha] L	'L'
α ₘ	[alpha] [sub-m]	'sub-m'
α m	[alpha] m	'm'
α M	[alpha] M	'M'
α ₙ	[alpha] [sub-n]	'sub-n'
α N	[alpha] N	'N'
α n	[alpha] n	'n'
α ñ	[alpha] [n-tilde]	'n-tilde'
α Ñ	[alpha] [N-tilde]	'N-tilde'
α O	[alpha] O	'O'
α o	[alpha] o	'o'
α Ò	[alpha] [O-grave]	'O-grave'
α ò	[alpha] [o-grave]	'o-grave'
α ó	[alpha] [o-acute]	'o-acute'
α Ó	[alpha] [O-acute]	'O-acute'
α õ	[alpha] [o-tilde]	'o-tilde'
α Õ	[alpha] [O-tilde]	'O-tilde'
α ö	[alpha] [o-umlaut]	'o-umlaut'
α Ö	[alpha] [O-umlaut]	'O-umlaut'
α ø	[alpha] [o-slash]	'o-slash'
α Ø	[alpha] [O-slash]	'O-slash'
α ₚ	[alpha] [sub-p]	'sub-p'
α p	[alpha] p	'p'
α P	[alpha] P	'P'
